result,time_updated,operation,id,time_created
-1.0,,3 2 6 - +,1,2024-02-07T21:23:56.593234+01:00
38.0,,32 6 +,2,2024-02-07T21:24:12.451056+01:00
9.2,,3.2 6 +,3,2024-02-07T21:38:43.606965+01:00
9.2,,3.2 6 +,4,2024-02-07T21:44:59.060087+01:00
9.0,,3 6 +,5,2024-02-07T22:10:36.163500+01:00
9.2,,3.2 6 +,6,2024-02-07T22:13:41.509010+01:00
10108.0,,6558 3550 +,7,2024-02-08T00:23:49.408464+01:00
1014.0,,982 32 +,8,2024-02-08T00:27:16.319425+01:00
659.0,,1014 355 -,9,2024-02-08T00:27:25.189015+01:00
6608215.0,,6592657 15558 +,10,2024-02-08T00:27:37.191502+01:00
66082155510258.0,,66082155569775 58962 555 + -,11,2024-02-08T00:27:49.776980+01:00
6357.0,,2458 3899 +,12,2024-02-08T00:32:50.974811+01:00
